Date and Time (UTC),Receiver,Transmitter,Transmitter Name,Transmitter Serial,Sensor Value,Sensor Unit,Station Name,Latitude,Longitude
2009-03-16 05:16:27,VR2W-101137,A69-1206-367,,,,,Jimmy Hall Tour Mooring,+21.641667,-158.12233
2009-03-16 05:16:56,VR2W-101137,A69-1206-367,,,,,Jimmy Hall Tour Mooring,+21.641667,-158.12233
2009-03-16 05:17:31,VR2W-101137,A69-1206-367,,,,,Jimmy Hall Tour Mooring,+21.641667,-158.12233
2009-03-16 05:18:18,VR2W-101137,A69-1206-367,,,,,Jimmy Hall Tour Mooring,+21.641667,-158.12233
2009-03-16 05:19:30,VR2W-101137,A69-1206-367,,,,,Jimmy Hall Tour Mooring,+21.641667,-158.12233
2009-03-16 05:20:40,VR2W-101137,A69-1206-367,,,,,Jimmy Hall Tour Mooring,+21.641667,-158.12233
2009-03-16 05:21:50,VR2W-101137,A69-1206-367,,,,,Jimmy Hall Tour Mooring,+21.641667,-158.12233
2009-03-16 05:22:56,VR2W-101137,A69-1206-367,,,,,Jimmy Hall Tour Mooring,+21.641667,-158.12233
2009-03-16 05:23:56,VR2W-101137,A69-1206-367,,,,,Jimmy Hall Tour Mooring,+21.641667,-158.12233
2009-03-16 05:24:45,VR2W-101137,A69-1206-367,,,,,Jimmy Hall Tour Mooring,+21.641667,-158.12233
2009-03-16 05:25:09,VR2W-101137,A69-1206-367,,,,,Jimmy Hall Tour Mooring,+21.641667,-158.12233
2009-03-16 05:25:36,VR2W-101137,A69-1206-367,,,,,Jimmy Hall Tour Mooring,+21.641667,-158.12233
2009-03-16 05:28:04,VR2W-101137,A69-1206-367,,,,,Jimmy Hall Tour Mooring,+21.641667,-158.12233
2009-03-16 05:28:41,VR2W-101137,A69-1206-367,,,,,Jimmy Hall Tour Mooring,+21.641667,-158.12233
2009-03-16 05:29:33,VR2W-101137,A69-1206-367,,,,,Jimmy Hall Tour Mooring,+21.641667,-158.12233
2009-03-16 05:30:04,VR2W-101137,A69-1206-367,,,,,Jimmy Hall Tour Mooring,+21.641667,-158.12233
2009-03-16 05:30:44,VR2W-101137,A69-1206-367,,,,,Jimmy Hall Tour Mooring,+21.641667,-158.12233
2010-12-22 20:15:06,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2010-12-22 20:16:24,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2010-12-22 20:17:27,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2010-12-22 20:19:00,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2010-12-22 20:20:30,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2010-12-22 20:21:58,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2010-12-22 20:23:19,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2010-12-22 20:24:28,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2010-12-22 20:25:12,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2010-12-22 20:28:08,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2010-12-22 20:29:16,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2010-12-22 20:29:58,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2010-12-22 21:41:58,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2010-12-22 21:42:49,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2010-12-22 21:44:43,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2010-12-22 21:50:59,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2010-12-22 21:51:46,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2010-12-22 21:54:13,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2010-12-22 21:56:39,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2010-12-22 21:57:17,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2010-12-22 21:57:58,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2010-12-22 22:00:28,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2010-12-22 22:01:46,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2010-12-22 22:03:36,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2010-12-22 22:05:05,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2010-12-23 21:52:29,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2010-12-23 21:53:27,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2010-12-23 21:58:17,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2010-12-23 21:59:39,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2010-12-23 22:01:35,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2010-12-23 22:03:54,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2010-12-23 22:05:02,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2010-12-23 22:34:05,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2010-12-23 22:59:28,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2010-12-23 23:00:16,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2010-12-23 23:04:02,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2010-12-23 23:05:07,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2010-12-23 23:27:44,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2010-12-27 21:01:20,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2010-12-27 21:07:15,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2010-12-29 02:31:10,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2010-12-29 02:37:38,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2010-12-29 02:38:35,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2010-12-29 02:39:54,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2010-12-29 02:41:35,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2010-12-29 02:42:14,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2010-12-29 02:42:57,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2010-12-29 02:43:49,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2010-12-29 02:44:58,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2010-12-29 02:45:44,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2010-12-29 02:46:41,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2010-12-29 02:48:01,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2010-12-29 02:49:49,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2010-12-29 02:50:35,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2010-12-29 02:51:35,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2010-12-29 02:57:40,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2010-12-29 02:58:21,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2010-12-29 02:59:08,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2010-12-29 03:01:35,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2010-12-29 03:02:55,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2010-12-29 21:19:55,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2010-12-29 21:24:51,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2010-12-29 21:25:58,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2010-12-29 21:26:39,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2010-12-29 21:27:27,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2010-12-29 21:28:30,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2010-12-29 21:30:00,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2010-12-29 21:31:29,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2010-12-29 21:32:51,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2010-12-29 21:34:02,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2010-12-29 21:34:50,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2010-12-29 21:35:53,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2010-12-29 21:37:24,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2010-12-29 21:38:53,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2010-12-29 21:40:16,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2010-12-29 21:42:22,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2010-12-29 21:44:20,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2010-12-30 03:12:24,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2010-12-30 03:13:08,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2010-12-30 03:16:05,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2010-12-30 03:22:07,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2010-12-30 03:25:26,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2011-01-01 00:40:05,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2011-01-01 00:41:36,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2011-01-01 00:44:26,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2011-01-01 00:45:38,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2011-01-01 00:46:26,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2011-01-01 00:47:29,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2011-01-01 00:49:01,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2011-01-01 00:50:32,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2011-01-01 00:52:00,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2011-01-01 00:54:34,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2011-01-12 00:19:55,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2011-01-12 00:24:28,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2011-01-12 00:25:23,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2011-01-12 00:27:37,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2011-01-12 00:30:14,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2011-01-12 00:52:38,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2011-01-12 02:16:59,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2011-01-12 02:19:39,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2011-01-12 02:21:33,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2011-01-12 02:22:09,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2011-01-12 02:22:47,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2011-01-12 02:23:29,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2011-01-12 02:24:18,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2011-01-12 02:25:23,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2011-01-12 02:25:58,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2011-01-12 02:26:35,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2011-01-12 02:27:14,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2011-01-12 02:28:00,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2011-01-12 02:28:56,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2011-01-12 02:30:16,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2011-01-12 02:31:20,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2011-01-12 02:31:55,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2011-01-12 02:33:11,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2011-01-12 02:34:52,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2011-01-21 20:46:36,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2011-01-21 20:50:51,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2011-01-21 20:53:46,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2011-01-21 20:59:20,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2011-01-21 21:02:25,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2011-01-21 21:03:42,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2011-01-21 21:04:43,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2011-01-21 21:08:45,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2011-01-21 21:10:38,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2011-01-21 21:29:36,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2011-01-21 21:30:13,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2011-01-31 03:32:21,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2011-01-31 03:36:51,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2011-01-31 03:38:20,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2011-02-14 01:51:52,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2011-02-14 01:53:41,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2011-02-14 01:55:10,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2011-02-14 01:58:33,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2011-02-14 02:01:56,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2011-02-14 02:20:59,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2011-02-14 02:24:16,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2011-02-14 02:25:39,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2011-02-14 02:26:52,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2011-02-14 02:27:44,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2011-02-14 02:29:38,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2011-02-14 02:30:34,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2011-02-14 02:56:10,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2011-02-14 03:00:22,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2011-02-20 00:55:06,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2011-02-20 00:56:12,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2011-02-20 00:56:48,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2011-02-20 01:00:28,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2011-02-20 01:06:12,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2011-02-20 01:07:45,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2011-02-20 01:09:18,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2011-02-20 01:10:49,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2011-02-20 01:12:18,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2011-02-20 01:13:42,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2011-02-20 01:14:56,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2011-02-20 01:15:49,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2011-02-20 01:17:03,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2011-02-20 01:17:56,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2011-02-20 01:19:09,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2011-02-20 01:20:01,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2011-02-20 01:21:54,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2011-02-20 01:24:04,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2011-02-20 01:25:01,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2011-02-20 01:28:36,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2011-02-20 01:29:16,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2011-02-20 01:30:00,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2011-02-23 03:17:09,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
2011-02-23 03:18:34,VR2-8148,A69-1303-54784,,,,,FAD U,+21.58167,-157.69167
